title,info,file,expires,tags,usage,country
Queen Fungicide,Queen gombaölő szer,HU_Queen_pkg_bdg_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple, PMS 514 C Purple",Hungary
Queen Fungicide,Queen gombaölő szer,HU_Queen_pkg_txt_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple",Hungary
Magma Insecticide,MAGMA ROVARÖLŐ SZER,HU_Magma_pkg_bdg_hu_pms.eps,Never,"Hungary, Magma, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange, PMS 1495 C Orange",Hungary
Magma Insecticide,MAGMA ROVARÖLŐ SZER,HU_Magma_pkg_txt_hu_pms.eps,Never,"Hungary, Magma, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange",Hungary
Lumisena Fungicide Seed Treatment,LUMISENA GOMBAÖLŐ CSÁVÁZÓSZER,HU_Lumisena_pkg_bdg_hu_pms.eps,Never,"Hungary, Lumisena, gombaölő csávázószer, Hungarian, Fungicide Seed Treatment","Black, PMS 285 C Blue, PMS 7549 C Gold, PMS 128 C Gold",Hungary
Lumisena Fungicide Seed Treatment,LUMISENA GOMBAÖLŐ CSÁVÁZÓSZER,HU_Lumisena_pkg_txt_hu_pms.eps,Never,"Hungary, Lumisena, gombaölő csávázószer, Hungarian, Fungicide Seed Treatment","Black, PMS 285 C Blue, PMS 7549 C Gold",Hungary
Trend 90 Surfactant,Trend 90,HU_Trend_90_pkg_txt_hu_pms.eps,Never,"Hungary, Trend 90, SEGÉDANYAG, Hungarian, Surfactand","PMS 214 C Pink, PMS 285 C Blue, Black",Hungary
Trend 90 Surfactant,Trend 90,HU_Trend_90_pkg_bdg_hu_pms.eps,Never,"Hungary, Trend 90, SEGÉDANYAG, Hungarian, Surfactand","PMS 214 C Pink, PMS 708 C Pink, PMS 285 C Blue, Black",Hungary
Lumivia Semillero insecticide seed treatment,"Lumivia Semillero, Tratamiento insecticida para semillas",AR_Lumivia_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumivia Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina
Talius fungicide,Talius,HU_Talius_pkg_bdg_hu_pms.eps,Never,"Hungary, Talius GOMBAÖLŐ SZER, Hungarian, fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary
Talius fungicide,Talius,HU_Talius_pkg_txt_hu_pms.eps,Never,"Hungary, Talius GOMBAÖLŐ SZER, Hungarian, fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Hungary
Lumivia RA insecticide seed treatment,"Lumivia RA, Tratamiento insecticida para semillas",AR_Lumivia_RA_pkg_txt_es_pms.eps,Never,"Argentina, Lumivia RA, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina
Principal herbicide,Principal,HU_Principal_pkg_txt_hu_pms.eps,Never,"Hungary, Principal gombaölő szer, Hungarianm herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Hungary
Principal herbicide,Principal,HU_Principal_pkg_bdg_hu_pms.eps,Never,"Hungary, Principal gombaölő szer, Hungarianm herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Hungary
Lumisure Semillero insecticide seed treatment,"Lumisure Semillero, Tratamiento insecticida para semillas",AR_Lumisure_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumisure Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina
Lumisena Semillero insecticide seed treatment,"Lumisena Semillero, Tratamiento insecticida para semillas",AR_Lumisena_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumisena Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina
Titus 25 DF herbicide,Titus 25 DF,HU_Titus_25_DF_pkg_bdg_hu_pms.eps,Never,"Hungary, Titus 25 DF GYOMIRTÓ SZER, Hungarian, herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Hungary
Titus 25 DF herbicide,Titus 25 DF,HU_Titus_25_DF_pkg_txt_hu_pms.eps,Never,"Hungary, Titus 25 DF GYOMIRTÓ SZER, Hungarian, herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Hungary
Propiconazole Dow AgroSciences Fungicide,Fungicida Propiconazole® Dow AgroSciences,PY_Propiconazole_Dow_AgroSciences_pkg_txt_es_pms.eps,Never,"Paraguay, Propiconazole® Dow AgroSciences, fungicida, spanish, fungicide","Black, PMS 513 C Purple, PMS 285 C Blue",Paraguay
Propiconazole Dow AgroSciences Fungicide,Fungicida Propiconazole® Dow AgroSciences,PY_Propiconazole_Dow_AgroSciences_pkg_bdg_es_pms.eps,Never,"Paraguay, Propiconazole® Dow AgroSciences, fungicida, spanish, fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Paraguay
HORMOBAN 420 SL HERBICIDE,HORMOBAN 420 SL,ZA_HORMOBAN_420_SC_pkg_bdg_en_pms.eps,Never,"HORMOBAN 420 SL, Herbicide, South Africa","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",South Africa
HORMOBAN 420 SL HERBICIDE,HORMOBAN 420 SL,ZA_HORMOBAN_420_SC_pkg_txt_en_pms.eps,Never,"HORMOBAN 420 SL, Herbicide, South Africa","PMS 361 C Green, PMS 285 C Blue, Black",South Africa
Stinger Fungicide,Fungicide,TN_Stinger_pkg_bdg_ar_pms.eps,Never,"Tunisia, Stinger, fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Tunisia
Stinger Fungicide,Fungicide,TN_Stinger_pkg_txt_ar_pms.eps,Never,"Tunisia, Stinger, fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Tunisia
Verben Fungicide,"Verben, FUNGICIDE - Turkey",TR_Verben_pkg_txt_tr_pms.eps,Never,"Turkey, Verben, Fungisit, Turkish, Fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Turkey
Verben Fungicide,"Verben, FUNGICIDE - Turkey",TR_Verben_pkg_bdg_tr_pms.eps,Never,"Turkey, Verben, Fungisit, Turkish, Fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Turkey
Preside Herbicide,Herbicida Preside®,PY_Preside_pkg_bdg_es_pms.eps,Never,"Paraguay, Preside®, Herbicida, Spanish, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Paraguay
Preside Herbicide,Herbicida Preside®,PY_Preside_pkg_txt_es_pms.eps,Never,"Paraguay, Preside®, Herbicida, Spanish, Herbicide","Black, PMS 361 C Green, PMS 285 C Blue",Paraguay
"VYDATE G, INSECTICIDA - NEMATICIDA","Vydate G, INSECTICIDA - NEMATICIDA",CL_Vydate_G_pkg_txt_es_pms.eps,Never,"chile, vydate G, insecticida-nematicida, spanish, insecticide-nematicide","Black, PMS 285 C Blue",
Success,"insecticida successs, chile",CL_Success_pkg_txt_es_pms.eps,Never,"chile, success, insecticida, spanish, insecticide","Black, PMS 285 C Blue",
salibro nematicide,salibro nematicida,CL_Salibro_pkg_txt_es_pms.eps,Never,"chile, salibro, nematicida, spanish, nematicide","Black, PMS 285 C Blue",
"Twinguard RTU , Insecticida","Twinguard RTU, Insecticida",CL_Twinguard_RTU_pkg_txt_es_pms.eps,Never,"chile, Twinguard RTU, Insecticida, spanish, insecticide","Black, PMS 285 C Blue",
"VYDATE L, INSECTICIDA - NEMATICIDA","Vydate L, INSECTICIDA - NEMATICIDA",CL_Vydate_L_pkg_txt_es_pms.eps,Never,"chile, vydate L, insecticida-nematicida, spanish, insecticide-nematicide","Black, PMS 285 C Blue",
Laser 24 SC Insecticide,"Laser 24 SC, INSECTICIDE - Cyprus",CY_Laser_24_SC_pkg_bdg_el_pms.eps,Never,"Cyprus, Laser 24 SC, ΕΝΤΟΜΟΚΤΟΝΟ, Greek, INSECTICIDE","PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue, Black",Cyprus
Laser 24 SC Insecticide,"Laser 24 SC, INSECTICIDE - Cyprus",CY_Laser_24_SC_pkg_txt_el_pms.eps,Never,"Cyprus, Laser 24 SC, ΕΝΤΟΜΟΚΤΟΝΟ, Greek, INSECTICIDE","PMS 1525 C Orange, PMS 285 C Blue, Black",Cyprus
Zellek Super Herbicide,Зеллек Супер Гербицид,KZ_Zellek_Super_EC_bilingual_pkg_txt_ru_pms.eps,Never,"Kazakhstan, Зеллек Супер, Гербицид, Russian","PMS 361 C Green, PMS 285 C Blue, Black",
Zellek Super Herbicide,Зеллек Супер Гербицид,KZ_Zellek_Super_EC_bilingual_pkg_bdg_ru_pms.eps,Never,"Kazakhstan, Зеллек Супер, Гербицид, Russian","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",
Rainbow 25 OD Herbicide,Рейнбоу 25 ОД Гербицид,KZ_Rainbow_25_OD_bilingual_pkg_bdg_ru_pms.eps,Never,"Kazakhstan, Рейнбоу 25 ОД, Гербицид, Russian, Herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",
Rainbow 25 OD Herbicide,Рейнбоу 25 ОД Гербицид,KZ_Rainbow_25_OD_bilingual_pkg_txt_ru_pms.eps,Never,"Kazakhstan, Рейнбоу 25 ОД, Гербицид, Russian, Herbicide","PMS 361 C Green, PMS 285 C Blue, Black",
"Zorvec Endavia 10 OD, Fungicide","Zorvec Endavia 10 OD, FUNGICIDE - Greece",GR_Zorvec_Endavia_10_OD_pkg_bdg_el_pms.eps,Never,"Greece, Zorvec Endavia 10 OD, ΜΥΚΗΤΟΚΤΟΝΟ, Greek, FUNGICIDE","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Greece
"Zorvec Endavia 10 OD, Fungicide","Zorvec Endavia 10 OD, FUNGICIDE - Greece",GR_Zorvec_Endavia_10_OD_pkg_txt_el_pms.eps,Never,"Greece, Zorvec Endavia 10 OD, ΜΥΚΗΤΟΚΤΟΝΟ, Greek, FUNGICIDE","PMS 513 C Purple, PMS 285 C Blue, Black",Greece
Lortama Herbicide,"Lortama, Herbicide - Turkey",TR_Lortama_pkg_bdg_tr_pms.eps,Never,"Turkey, Lortama, Herbisit, Turkish, Herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Turkey
