title,info,file,expires,tags,usage,country,product_category
Trezac Arylex active Herbicide,Trezac Arylex active Herbicide,AU_Trezac_Arylex_active_pkg_bdg_en_pms.eps,Never,"Trezac Arylex active Herbicide, English, Australia,","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Australia,Herbicide
Viper Compact Sunfire Pack Herbicide,Viper Compact Sunfire pack,DE_Viper_Compact_Sunfire_Pack_pkg_bdg_de_pms.eps,Never,"Germany, Viper Compact Sunfire pack, Herbizid, Florasulam, Penoxsulam, DFF, Flufenacet, German, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Germany,Herbicide
Crew Specialty Herbicide,Crew Specialty Herbicide,US_Crew_pkg_bdg_en_pms.eps,Never,"United States, Crew Specialty Herbicide, English, Specialty Herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",United States,Herbicide
Viovan fungicide,Fungicida Viovan™ con Onmira™ active,PY_Viovan_Onmira_active_pkg_bdg_es_pms.eps,Never,"Paraguay, Viovan™, Onmira™ active, spanish, fungicide","Black, PMS 519 C Purple, PMS 514 C Purple, PMS 285 C Blue",Paraguay,Fungicide
Targa Super 5 SC Herbicide,Targa Super,SE_Targa_Super_5_SC_pkg_bdg_sv_pms.eps,Never,"Sweden, Targa Super 5 SC, Ogräsmedel, Quizalofop Ethyl, Swedish, herbicide.","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Sweden,Herbicide
Vigilant II Herbicide,Vigilant II Herbicide,NZ_Vigilant_II_pkg_bdg_en_pms.eps,Never,"New Zealand, Vigilant II Herbicide, Vigilant, Herbicide, English","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",New Zealand,Herbicide
Pixxaro Herbicide,Pixxaro Pakistan,PK_Pixxaro_EC_pkg_bdg_en_pms.eps,Never,"Pakistan, Pixxaro, Herbicide, Arylex, urdu, Herbicide Wheat","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Pakistan,Herbicide
Daoyou Herbicide,Daoyou Pakistan,PK_Daoyou_SE_pkg_bdg_en_pms.eps,Never,"Pakistan, Daoyou, Herbicide, urdu, Herbicide Rice","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",Pakistan,Herbicide
Lancelot Herbicide,Lancelot Pakistan,PK_Lancelot_WG_pkg_bdg_en_pms.eps,Never,"Pakistan, Lancelot, Herbicide, urdu, Herbicide Wheat","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Pakistan,Herbicide
Inconiq Fungicide,Inconiq,GB_IE_Inconiq_Inatreq_active_pkg_bdg_en_pms.eps,Never,"U.K, Inconiq, Fungicide, Fenpicoxamide, English, Fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",United Kingdom,Fungicide
LUMIFLEX Seed treatment,LUMIFLEX,DE_Lumiflex_pkg_bdg_de_pms.eps,Never,"Germany, Lumiflex, Saatgutbeize, Ipconazole, German, Seed treatment.","Black, PMS 7549 C Gold, PMS 128 C Gold, PMS 285 C Blue",Germany,Seed Treatment
Kerb FLO HERBICIDE,"Kerb™ FLO, HERBICIDE - Italy",IT_Kerb_FLO_pkg_bdg_it_pms.eps,Never,"Italy, Kerb™ FLO, ERBICIDA, Italian, Herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",Italy,Herbicide
LUMIPOSA SEED TREATMENT,Lumiposa,DE_Lumiposa_pkg_bdg_de_pms.eps,Never,"Germany, lumiposa, Saatgutbeize, Cyantraniliprole, German, Seed treatment","Black, PMS 7549 C Gold, PMS 128 C Gold, PMS 285 C Blue",Germany,Seed Treatment
Sequoia,Sequoia,NL_Sequoia_Isoclast_active_pkg_bdg_nl_pms.eps,Never,"The Netherlands, Sequoia, Insecticide, Sulfoxaflor, Dutch, Insecticide","Black, PMS 158 C Orange, PMS 1495 C Orange, PMS 285 C Blue",Netherlands,Insecticide
Sequoia Insecticide,Sequoia,BE_Sequoia_Isoclast_active_pkg_bdg_fr_pms.eps,Never,"Belgium, Sequoia, Insecticide, Sulfoxaflor, French, Insecticide","Black, PMS 158 C Orange, PMS 1495 C Orange, PMS 285 C Blue",Belgium,Insecticide
Intensity HERBICIDE,Intensity™ HERBICIDE - Spain,ES_Intensity_pkg_bdg_es_pms.eps,Never,"Spain, Intensity™, HERBICIDA, Spanish, HERBICIDE","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Spain,Herbicide
Sendero Herbicide,Sendero 336 SL Herbicide,ZA_Sendero_336_SL_pkg_bdg_en_pms.eps,Never,"Sendero 336 SL, South Africa , Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",South Africa,Herbicide
Uptake Spraying Oil,Uptake Spraying Oil,NZ_Uptake_pkg_bdg_en_pms.eps,Never,"Uptake Spraying Oil, New Zealand, NZ, Uptake, Spraying Oil, Surfactant, Wetter, English","Black, PMS 221 C Pink, PMS 708 C Pink, PMS 285 C Blue",New Zealand,
Transform Isoclast active Insecticide,Transform Isoclast active Insecticide,NZ_Transform_Isoclast_active_pkg_bdg_en_pms.eps,Never,"Transform Isoclast active Insecticide, New Zealand, NZ, Transform, Isoclast, Insecticide, English","Black, PMS 158 C Orange, PMS 1495 C Orange, PMS 285 C Blue",New Zealand,Insecticide
Prodigy Insecticide,Prodigy Insecticide,NZ_Prodigy_pkg_bdg_en_pms.eps,Never,"Prodigy Insecticide, New Zealand, Insecticide, Prodigy, NZ","Black, PMS 158 C Orange, PMS 1495 C Orange, PMS 285 C Blue",New Zealand,Insecticide
Korvetto Arylex active Herbicide,Korvetto Arylex active Herbicide,NZ_Korvetto_Arylex_active_pkg_bdg_en_pms.eps,Never,"Korvetto Arylex active Herbicide, New Zealand, Arylex, Korvetto, Herbicide, NZ, English","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",New Zealand,Herbicide
Garlon 360 Herbicide,Garlon 360 Herbicide,NZ_Garlon_360_pkg_bdg_en_pms.eps,Never,"New Zealand, Garlon 360 Herbicide, Garlon, Herbicide, English","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",New Zealand,Herbicide
Acanto Onmira active Fungicide,Acanto Onmira active Fungicide,NZ_Acanto_Onmira_active_pkg_bdg_en_pms.eps,Never,"New Zealand, Acanto Onmira active Fungicide, Acanto, Onmira, English, fungicide, picoxy","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",New Zealand,Fungicide
Taosijin FUNGICIDE,陶斯金杀菌剂,CN_Taosijin_FUNGICIDE_pkg_bdg_zh_pms.eps,Never,"China, 陶斯金, 杀菌剂, Chinese, Fungicide","Black, PMS 519 C Purple, PMS 514 C Purple, PMS 285 C Blue",China,Fungicide
Xinmiening INSECTICIDE,新灭宁杀虫剂,CN_Xinmiening_INSECTICIDE_pkg_bdg_zh_pms.eps,Never,"China, 新灭宁, 杀虫剂, Chinese, Insecticide","Black, PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue",China,Insecticide
Manzhoudao HERBICIDE,满舟稻除草剂,CN_Manzhoudao_HERBICIDE_pkg_bdg_zh_pms.eps,Never,"China, 满舟稻, 除草剂, Chinese, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",China,Herbicide
Lvyuansu HERBICIDE,绿源素除草剂,CN_Lvyuansu_HERBICIDE_pkg_bdg_zh_pms.eps,Never,"China, 绿源素, 除草剂, Chinese, Herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",China,Herbicide
Xiamaifei HERBICIDE,夏麦飞除草剂,CN_Xiamaifei_HERBICIDE_pkg_bdg_zh_pms.eps,Never,"China, 夏麦飞, 除草剂, Chinese, Herbicide","Black, PMS 340 C Green, PMS 376 C Green, PMS 285 C Blue",China,Herbicide
Derby-C HERBICIDE,麦喜除草剂,CN_Derby-C_HERBICIDE_pkg_bdg_zh_pms.eps,Never,"China, 麦喜, 除草剂, Chinese, Herbicide","Black, PMS 340 C Green, PMS 376 C Green, PMS 285 C Blue",China,Herbicide
Yisuode HERBICIDE,易索得除草剂,CN_Yisuode_HERBICIDE_pkg_bdg_zh_pms.eps,Never,"China, 易索得, 除草剂, Chinese, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",China,Herbicide
Liduoxin HERBICIDE,力多新除草剂,CN_Liduoxin_HERBICIDE_pkg_bdg_zh_pms.eps,Never,"China, 力多新, 除草剂, Chinese, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",China,Herbicide
Tarzec 320WG Herbicide,"Tarzec 320WG, Herbicide, South Africa",ZA_Tarzec_320WG_pkg_bdg_en_pms.eps,Never,Tarzec 320WG Herbicide,"Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",,Herbicide
Transform CA Insecticide,Transform CA Isoclast active Insecticide,US_Transform_CA_Isoclast_active_pkg_bdg_en_pms.eps,Never,"United States, Transform CA Insecticide, Isoclast active, English, Insecticide","Black, PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue",United States,Insecticide
Sequoia CA Insecticide,Sequoia CA Insecticide,US_Sequoia_CA_Isoclast_active_pkg_bdg_en_pms.eps,Never,"United States, Sequoia CA Insecticide, Isoclast active, English, Insecticide","Black, PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue",United States,Insecticide
Loyant CA Herbicide,Loyant CA Rinskor active Herbicide,US_Loyant_CA_pkg_bdg_en_pms.eps,Never,"United States, Loyant CA Herbicide, Rinskor active, English, herbicide","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",United States,Herbicide
Quelex 200WG HERBICIDE,Quelex (TM) 200WG Herbicide,ZA_Quelex_200WG_pkg_bdg_en_pms.eps,Never,"Quelex 200WG, South Africa, Herbicide, English","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",South Africa,Herbicide
Lumisena Fungicide seed treatment,Lumisena,FR_Lumisena_pkg_bdg_fr_pms.eps,Never,"France, Lumisena, Fongicide Traitement de Semences, Oxathiapiprolin, French, Fungicide Seed Treatment","Black, PMS 7549 C Gold, PMS 128 C Gold, PMS 285 C Blue",France,Seed Treatment
Reldan 22 CIMICE ASIATICA INSECTICIDE,"Reldan 22 CIMICE ASIATICA, INSECTICIDE - Italy",IT_Reldan_22_CIMICE_ASIATICA_pkg_bdg_it_pms.eps,Never,"Italy, Reldan 22 CIMICE ASIATICA, INSETTICIDA, Italian, insecticide","Black, PMS 158 C Orange, PMS 1495 C Orange, PMS 285 C Blue",Italy,Insecticide
MCPA 50SL HERBICIDE,MCPA 50SL HERBICIDE - Spain,ES_MCPA_50SL_pkg_bdg_es_pms.eps,Never,"Spain, MCPA 50SL, HERBICIDA, SPANISH, HERBICIDE","Black, PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue",Spain,Herbicide
Surfactante DP ADJUVANT,"Surfactante DP, ADJUVANT - Portugal",PT_Surfactante_DP_pkg_bdg_pt_pms.eps,Never,"Portugal, Surfactante DP, MOLHANTE, Portuguese, Adjuvant","Black, PMS 214 C PINK, PMS 708 C PINK, PMS 285 C Blue",Portugal,
Lumisure,Lumisure® Insecticida Tratamiento de Semilla,MX_Lumisure_pkg_bdg_es_pms.eps,Never,Lumisure / INSECTICIDA / CLOTIOANIDIN / TRATAMIENTO DE SEMILLA /,"Black, PMS 7549 C Gold, PMS 128 C Gold, PMS 285 C Blue",,
"Zorvec Zelavin Bria, Fungicide",Zorvec Zelavin Bria,RO_Zorvec_Zelavin_Bria_pkg_bdg_ro_pms.eps,Never,"Romania, Zorvec Zelavin Bria, fungicid, Romanian, fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Romania,Fungicide
Broadway Plus,Broadway Plus,DE_Broadway_Plus_Arylex_active_pkg_bdg_de_pms.eps,Never,"Germany, Broadway plus, Herbizid, Pyroxsulam, Florasulam, Halauxyfen, German, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",Germany,Herbicide
Trimanoc FUNGICIDE,Trimanoc,BE_Trimanoc_DG_pkg_bdg_fr_pms.eps,Never,"Belgium, Trimanoc dg, Fongicide, Mancozebe, French, Fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Belgium,Fungicide
"Zorvec Enicade, Fungicide",Zorvec Enicade,RO_Zorvec_Enicade_pkg_bdg_ro_pms.eps,Never,"Romania, Zorvec Enicade, fungicid, Romanian, fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Romania,Fungicide
Zorvec Zelavin Fungicide,Zorvec Zelavin,RO_Zorvec_Zelavin_pkg_bdg_ro_pms.eps,Never,"Romania, Zorvec Zelavin, fungicid, Romanian, fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Romania,Fungicide
